System: Lynx
====================
Awesome Golf (USA, Europe)
Basketbrawl (USA, Europe)
Batman Returns (USA, Europe)
Battlezone 2000 (USA, Europe)
Bill & Ted's Excellent Adventure (USA, Europe)
Block Out (USA, Europe)
Blue Lightning (USA, Europe)
Bubble Trouble (USA, Europe)
California Games (USA, Europe)
Checkered Flag (USA, Europe)
Chip's Challenge (USA, Europe)
Crystal Mines II (USA, Europe)
Desert Strike - Return to the Gulf (USA, Europe)
Dinolympics (USA, Europe)
Dirty Larry - Renegade Cop (USA, Europe)
Double Dragon (USA, Europe)
Dracula the Undead (USA, Europe)
Electrocop (USA, Europe)
European Soccer Challenge (USA, Europe)
Fat Bobby (USA, Europe)
Fidelity Ultimate Chess Challenge, The (USA, Europe)
Gates of Zendocon, The (USA, Europe)
Gauntlet - The Third Encounter (USA, Europe)
Gordo 106 - The Mutated Lab Monkey (USA, Europe)
Hard Drivin' (USA, Europe)
Hockey (USA, Europe)
Hydra (USA, Europe)
Ishido - The Way of Stones (USA, Europe)
Jimmy Connors' Tennis (USA, Europe)
Joust (USA, Europe)
Krazy Ace - Miniature Golf (USA, Europe)
Kung Food (USA, Europe)
Lemmings (USA, Europe)
Lexis (USA, Europe)
Lynx Casino (USA, Europe)
Malibu Bikini Volleyball (USA, Europe)
NFL Football (USA, Europe)
Ninja Gaiden (USA, Europe)
Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)
Pac-Land (USA, Europe)
Paperboy (USA, Europe)
Pinball Jam (USA, Europe)
Pit Fighter - The Ultimate Competition (USA, Europe)
Power Factor (USA, Europe)
Qix (USA, Europe)
Raiden (USA) (v3.0)
Rampage (USA, Europe)
Rampart (USA, Europe)
RoadBlasters (USA, Europe)
Robo-Squash (USA, Europe)
Robotron 2084 (USA, Europe)
Rygar - Legendary Warrior (USA, Europe)
S.T.U.N. Runner (USA, Europe)
Scrapyard Dog (USA, Europe)
Shadow of the Beast (USA, Europe)
Shanghai (USA, Europe)
Steel Talons (USA, Europe)
Super Asteroids, Missile Command (USA, Europe)
Super Off-Road (USA, Europe)
Super Skweek (USA, Europe)
Switchblade II (USA, Europe)
Todd's Adventures in Slime World (USA, Europe)
Toki (USA, Europe)
Tournament Cyberball (USA, Europe)
Turbo Sub (USA, Europe)
Viking Child (USA, Europe)
World Class Soccer (USA, Europe)
Xenophobe (USA, Europe)
Xybots (USA, Europe)
Zarlor Mercenary (USA, Europe)
Battle Wheels (USA, Europe)
====================
Total Games: 71
